Are you currently living on campus or commuting?,Are you currently working for pay?,"At this point in the semester, how certain are you that you will remain at RIC through the end of the academic year?","Compared to your expectations before the semester, would you say your workload is:",Do you feel a sense of belonging at RIC?,Do you feel organized and prepared for your academic workload?,Have you joined or participated in any of the following activities at RIC? (Check all that apply),"How confident are you in knowing where to go for academic support (e.g., tutoring, writing center, advising)?","How confident are you in knowing where to go for personal support (e.g., counseling, wellness services, basic needs)?",How do you feel you have been making friends and building connections so far?,How well do you feel you are balancing your academic responsibilities with your work and personal commitments?,How would you describe your sense of belonging at Rhode Island College so far?,"If yes, how many hours per week are you working?","In the past 6 weeks, have you felt any of the following ? (Check all that apply)",Is there anything that would help you feel more successful at RIC right now?,"On average, how many hours per week are you currently spending in co-curricular activities (clubs, organizations, athletics, etc.)?",What has been your biggest challenge during the first six weeks?,What has been your biggest success during the first six weeks?
Commute to RIC,No,Very certain,Much lighter,Neutral,true,Other,Very confident,Very confident,I am struggling to make friends or connections.,Neutral,I feel neutral.,,Overwhelmed by non-academic responsibilities,-,0 hours,Being on top of ALL my work. I have one class (FYW) where I procrastinated really bad and didn't submit like 3 assignments cause they all relate to each other. But outside of that class and after that set of assignments I've been good.,I have been on top of almost all my work. In high school I submitted a lot of things late or never finished them at all. 
Commute to RIC,No,Neutral/Unsure,About the same,Agree,true,Attended a Campus Event,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,,Overwhelmed by coursework,no,0 hours,my Wednesday schedule ,getting through my Wednesday school which has 4 classes
Commute to RIC,No,Very certain,Slightly heavier,Neutral,true,Other,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,,Overwhelmed by coursework,,0 hours,Submitting assignments on time,I figured out how to navigate campus better as a commuter.
Commute to RIC,No,Very certain,Slightly heavier,Disagree,true,Attended a Campus Event,Not very confident,Neutral,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,,Overwhelmed by coursework,"a tutor that could help with my math 
",0 hours,trying to have time to study or have quality time with family.,turning in all my assignments on time 
Commute to RIC,No,Very certain,Slightly heavier,Neutral,true,Other,Neutral,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,"The biggest challenge during the first six weeks was getting use to the schedule and finding my classes, also getting use to the way teacher teach it's has been challenging because sometimes teachers just go in to class do there lesson in 40 minutes and give the work and that's it.  ",The biggest success during the first six weeks were being to do all the work one time and not having to have a workload like I just to do when I was in high school.
Living on Campus,No,Certain,Slightly heavier,Neutral,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Neutral,I feel neutral.,,"Homesick;
Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Not that I can think of.,0 hours,Adjusting to college and my 8am classes.,I found a decent way of studying and found a lot of ways that don't work to check off.
Commute to RIC,No,Neutral/Unsure,About the same,Neutral,true,Attended a Campus Event,Neutral,Neutral,I have not made any friends or connections.,Neutral,I feel neutral.,,"Lonely;
Overwhelmed by coursework","I just need to focus, if anything maybe make some friends or get to know others on campus.",0 hours,have trouble understanding certain topics for some of my classes like my First Year Seminar.,"I was able to pass all my test Unit 1 in my math course, and have a passing grade."
Commute to RIC,No,Neutral/Unsure,Slightly heavier,Neutral,true,Other,Neutral,Neutral,I have not made any friends or connections.,Neutral,I feel neutral.,,Overwhelmed by coursework,,0 hours,focusing on all the work given at the same time by my classes.,slowly getting the flow of work in college.
Commute to RIC,No,Certain,Slightly lighter,Neutral,true,"Campus publications;
Attended a Campus Event",Neutral,Somewhat confident,I am struggling to make friends or connections.,Not well,I feel neutral.,,"Lonely;
Overwhelmed by non-academic responsibilities","Getting a job so that I can start making money to not only spend, but save for my student loans.",0 hours,"Motivation, definitely. Obviously, the biggest factor is being the one to pay for your education. But the second factor is just how long the lectures are in comparison to a high school class schedule. Two hours (normally/on average) for each class a person attends consumes a certain amount of energy. Sometime doubt creeps into the back of my mind, like ""Is this all worth it?"" but I know that it is. That thought is just a momentary relapse of trying to get an easier workaround life.","Normalizing my schedule, especially my sleep schedule. I've been practicing when I work on my assignments and staying on task for the next class that comes up."
Commute to RIC,No,Certain,Slightly heavier,Neutral,false,Other,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Not well,I feel neutral.,,Overwhelmed by coursework,,0 hours,Time management/Motivation,Making an assignment schedule
Commute to RIC,No,Somewhat uncertain,About the same,Neutral,false,Visual arts programs,Neutral,Somewhat confident,"I have made a few friends, but not strong connections yet.",Not well,I feel neutral.,,"Lonely;
Overwhelmed by coursework","I think this is just a me problem, I have to focus.",0 hours,My biggest challenge during the first six weeks has to be staying focused and keeping up with all the work for each class.,My biggest success during the first six weeks is settling into my schedule relatively quick.
Commute to RIC,No,Certain,Much heavier,Neutral,false,Attended a Campus Event,Somewhat confident,Neutral,I have made some friends and connections.,Not well,I feel neutral.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Lessen the workload a little,0 hours,My biggest challenge has been keeping up with all my classes.,My biggest success has been keeping up with some of my classes.
Living on Campus,No,Certain,Much heavier,Neutral,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Not well,I feel neutral.,,"Homesick;
Overwhelmed by coursework",,0 hours,"My biggest challenge has been motivation, and finding the motivation to get up for class.","My biggest success has been studying consistently, as I've struggled with that in the past."
Commute to RIC,No,Very certain,Much heavier,Neutral,false,Attended a Campus Event,Not at all confident,Not at all confident,I have not made any friends or connections.,Not well,I feel neutral.,,Overwhelmed by coursework,,0 hours,The workload and just knowing what I need to do,I have been able to adjust to being in college decently well
Commute to RIC,No,Neutral/Unsure,About the same,Neutral,false,Other,Somewhat confident,Somewhat confident,I have not made any friends or connections.,Not well,I feel neutral.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Balancing the workload with personal/family things.,Finally somewhat getting on track in classes.
Commute to RIC,No,Very certain,About the same,Neutral,true,Other,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,,Overwhelmed by coursework,I guess living here might help with my motivation issues.,0 hours,Showing up with the traffic and gathering together the motivation to participate in class.,Turning in most of my work on time with effort put into the assignments.
Commute to RIC,No,Certain,About the same,Disagree,true,Attended a Campus Event,Somewhat confident,Not very confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Getting clarification on student employment ,"Completing an assignment, I was dreading doing "
Commute to RIC,No,Certain,Slightly heavier,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,trying to balance life outside of the classroom and life inside the classroom,not missing any homework assignments or classwork 
Living on Campus,No,Neutral/Unsure,Slightly lighter,Neutral,true,Other,Very confident,Very confident,I have made some friends and connections.,Well,I feel neutral.,,"Homesick;
Lonely",,0 hours,Adjusting to being away from home. ,Becoming friends with my roommates and becoming settled into the new world of college. 
Commute to RIC,No,Very certain,About the same,Strongly disagree,true,Other,Very confident,Very confident,I have made some friends and connections.,Well,I feel neutral.,,Overwhelmed by non-academic responsibilities,more money. cause my parents won't pay for my college at all. just because they make money doesn't mean I should get no government help if im paying for college myself,0 hours,finances,Multiple As and B's on big assignments
Living on Campus,No,Certain,Slightly lighter,Neutral,true,Attended a Campus Event,Neutral,Somewhat confident,I have not made any friends or connections.,Well,I feel neutral.,,Lonely,,0 hours,Feeling connected socially with the community,Navigating classes and organizing coursework
Commute to RIC,No,Very certain,Slightly lighter,Agree,false,Religious/spiritual groups,Somewhat confident,Somewhat confident,I am struggling to make friends or connections.,Neutral,I feel somewhat connected.,,"Lonely;
Overwhelmed by coursework",,0 hours,Staying on top of deadlines and commuting.,"Passing my exams, quizzes, and staying on top of my work."
Living on Campus,No,Very certain,About the same,Neutral,true,Other,Neutral,Not very confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,,Overwhelmed by non-academic responsibilities,"You should put more information on Our RIC. When I looked for the Center for Health and Wellness on there, it did not give much information about how to get to the health office. When I got to the Center for Health and Wellness, I wasn't sure where to go for a walk-in, because there were no signs or information anywhere telling me which direction to go, and the inside of that building can be confusing. The language on the website describing the Center for Health and Wellness was also unclear, because it said it was a part of Learning 4 Life, which made me think I had to go to the library. The language in many of the Our RIC pages is ambiguous and confusing. ",0 hours,Getting sleep,Getting work done
Commute to RIC,No,Very certain,About the same,Neutral,true,Other,Somewhat confident,Not very confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,,Overwhelmed by non-academic responsibilities,"For me, it's definitely sleeping better. I started well, but it's started to fluctuate as of the last 2 weeks.",0 hours,"My biggest challenge has been maintaining a certain work ethic that would allow for excellence in college. I don't slack, but my different levels of sleep/assignments per week makes consistency an issue.","My biggest success has been integrating my day-to-day life within the differing workflow of college, as well as contributing monetarily in some instances."
Commute to RIC,No,Certain,About the same,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,,Lonely,"I guess it would be overcoming laziness when necessary. Other than that, I guess I'm ok so far.",0 hours,Keeping up and juggling my different classes to not crash and burn in either of them.,I guess it would be quickly gotten used to this new environment and newfound responsibilities with RIC.
Living on Campus,No,Certain,About the same,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel somewhat connected.,,Overwhelmed by non-academic responsibilities,I would like a mentor .,0 hours,My biggest challenge has been waking up for my 8 am class ,My biggest success at RIC has been managing my management skills & completing my assignments in a timely manner .
Living on Campus,No,Neutral/Unsure,Slightly heavier,Neutral,true,Other,Very confident,Very confident,I have made many close friends and strong connections.,Neutral,I feel somewhat connected.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,i procrastinate a lot,making new friends and balancing school work and social life
Living on Campus,No,Neutral/Unsure,About the same,Neutral,true,Attended a Campus Event,Very confident,Neutral,I have made some friends and connections.,Neutral,I feel somewhat connected.,,"Homesick;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,"Making time to do all my work, study, and have time for myself",Getting most of my work in on time and findng many new friends through the first 6 weeks of being here.
Living on Campus,No,Certain,About the same,Neutral,false,Attended a Campus Event,Not very confident,Somewhat confident,I have made some friends and connections.,Neutral,I feel somewhat connected.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",not sure ,0 hours,staying organized and balancing living on my own ,going to most of my classes 
Commute to RIC,No,Very certain,About the same,Agree,true,Attended a Campus Event,Very confident,Neutral,I have not made any friends or connections.,Neutral,I feel somewhat connected.,,Overwhelmed by coursework,Bettering my time management skills. ,0 hours,Staying on top of my work.,I'd say staying on top of my work.
Commute to RIC,No,Very certain,Much heavier,Neutral,false,Other,Not very confident,Not at all confident,I am struggling to make friends or connections.,Not well,I feel somewhat connected.,,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,"Managing my schedule and my coursework. I feel so bogged down with my assignments, but I know I'm just having trouble getting into the rhythm of completing them. I've set up a new way of allocating work to days related to my schedule so we'll see how it works. I'm just nervous at how this initial rough period will affect my final grades in some classes",Attendance--getting up every day and commuting to school with no tardies over 15 minutes. I thought that it would be way trickier
Commute to RIC,No,Certain,Slightly lighter,Neutral,true,"Athletics (varsity, club, intramural);
Community service or volunteer work",Somewhat confident,Neutral,I have made many close friends and strong connections.,Very well,I feel somewhat connected.,,Overwhelmed by non-academic responsibilities,,0 hours,My biggest challenge has been getting ready for chemistry and biology exams. ,My biggest success has been regaining my good study habits after being out of school for so long. 
Commute to RIC,No,Very certain,Slightly heavier,Strongly agree,true,Other,Neutral,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,,Overwhelmed by non-academic responsibilities,,0 hours,My biggest challenge in the first six weeks are making new connections.,"My biggest success during the first six weeks, I feel is turning in all my assignments in time, if not most."
Commute to RIC,No,Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Neutral,Not very confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,,Lonely,"No, I've gotten into a rhythm that works for me.",0 hours,Keeping up with the readings that are required for classes,The workload has been a lot less than in high school
Commute to RIC,No,Very certain,Much lighter,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,,Overwhelmed by coursework,,0 hours,doing poorly on my chemistry exam,Keeping track of my assignments 
Commute to RIC,No,Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,,Overwhelmed by non-academic responsibilities,,0 hours,Getting to school in time and find parking.,Get all my work in on time. 
Commute to RIC,No,Very certain,About the same,Neutral,true,Visual arts programs,Very confident,Very confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,,Overwhelmed by coursework,I'm not sure if there's anything else I need at the moment.,0 hours,My biggest challenge was juggling multiple projects from different classes at the same time. I managed to make it work though.,My biggest success was adapting to having a school schedule again after taking a year-long break from school.
Living on Campus,No,Certain,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Very confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,,"Homesick;
Overwhelmed by coursework",No,0 hours,Completing all of my work for all of my classes on time,Having all A's
Living on Campus,No,Neutral/Unsure,Slightly lighter,Agree,true,Attended a Campus Event,Very confident,Very confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,,Homesick,,0 hours,Balancing studying and the workload.,Maintaining good grades.
Commute to RIC,No,Very certain,About the same,Agree,true,Attended a Campus Event,Somewhat confident,Neutral,I have made some friends and connections.,Well,I feel somewhat connected.,,Overwhelmed by coursework,,0 hours,Time management/scheduling,Handing in all assignments on time
Commute to RIC,No,Neutral/Unsure,Slightly heavier,Neutral,true,Attended a Campus Event,Very confident,Not very confident,I have made some friends and connections.,Well,I feel somewhat connected.,,Overwhelmed by coursework,"public speaking, and more confident communicating myself",0 hours,Participate and a presentation I did. ,I did a presentation for my philosophy class; it did not go well (at all) but at least I don't have to do it again. 
Living on Campus,No,Very certain,About the same,Agree,true,Attended a Campus Event,Not very confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,,"Homesick;
Lonely;
Overwhelmed by non-academic responsibilities",A meeting with my advisor,0 hours,"Remembering to do my RIC 100 classes. All my other classes have been fine, but RIC 100 is hard for me to get myself motivated for.",Taking care of myself in my dorm and managing to live on my own
Commute to RIC,No,Very certain,About the same,Neutral,true,Other,Somewhat confident,Somewhat confident,I have not made any friends or connections.,Well,I feel somewhat connected.,,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Trying to improve my studying habits.,"I'm doing incredibly well, balancing my workload and my personal life, and doing well on every test I've taken so far."
Living on Campus,No,Certain,Slightly heavier,Neutral,false,Attended a Campus Event,Not very confident,Not very confident,I am struggling to make friends or connections.,Not well,I feel somewhat disconnected.,,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Basically everything,Remembering locations
Commute to RIC,No,Very certain,Slightly heavier,Neutral,false,Other,Neutral,Somewhat confident,I have made many close friends and strong connections.,Not well,I feel somewhat disconnected.,,Overwhelmed by coursework,Personal ,0 hours,Overload of work/emajls,Well I've been going good in certain classes
Living on Campus,No,Certain,About the same,Disagree,false,Other,Neutral,Neutral,I have not made any friends or connections.,Not well,I feel somewhat disconnected.,,"Lonely;
Overwhelmed by coursework",,0 hours,"Organization, time management.",N/A
Living on Campus,No,Very certain,Slightly lighter,Neutral,true,Other,Somewhat confident,Not very confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat disconnected.,,"Homesick;
Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Organization. Blackboard is not very clear. ,Doing college work.
Commute to RIC,No,Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Very confident,Very confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel a strong sense of belonging.,1–5,Overwhelmed by coursework,Nope,0 hours,Adapting to the college framework from a high school one.,Finding comfortability within my classes
Commute to RIC,"Yes, off campus",Very certain,About the same,Strongly agree,true,Other,Very confident,Very confident,I have made many close friends and strong connections.,Neutral,I feel a strong sense of belonging.,1–5,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Nothing,0 hours,"Nothing, possibly studying/making time to study.",Making friends
Commute to RIC,No,Very certain,Slightly heavier,Strongly agree,true,Attended a Campus Event,Very confident,Very confident,I have made some friends and connections.,Very well,I feel a strong sense of belonging.,1–5,Overwhelmed by non-academic responsibilities,Nope!,0 hours,Paying attention in lectures,I have been very organized and on top of my work
Living on Campus,No,Very certain,About the same,Agree,true,Attended a Campus Event,Very confident,Somewhat confident,I have made some friends and connections.,Well,I feel a strong sense of belonging.,1–5,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,Figuring out my maj.r. I had some complications with that but figured it out now.,Figuring out what works best for me academic wise like studying and time managing.
Commute to RIC,"Yes, off campus",Very certain,Slightly heavier,Neutral,true,Other,Neutral,Somewhat confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,1–5,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities","Besides tutoring, is there any way students can recieve help in math? Like ways to improve your grades beyond tutoring.",0 hours,"Math has always been a struggle, I am a slow learner, and anything with numbers takes a far more longer time to configure into knolwedge. There's a reason why but I'm not sure if its enough to be validated or understood.","My biggest success during the first six weeks had to definetly be my grade in english. It started off with a 96. Keyword, started."
Living on Campus,No,Certain,Much heavier,Agree,true,Other,Very confident,Very confident,"I have made a few friends, but not strong connections yet.",Neutral,I feel neutral.,1–5,"Homesick;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",Me being able to make a schedule ,0 hours,Passing my tests and staying on top of studying.,Doing my schoolwork on time.
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Neutral,I feel neutral.,1–5,Overwhelmed by coursework,Not right now.,0 hours,Figuring out the best ways to study for exams,I have a good routine down with completing my work and when I will do all of my work.
Commute to RIC,No,Very certain,About the same,Neutral,true,Other,Somewhat confident,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,1–5,Lonely,,0 hours,no real challenges,The extra time
Commute to RIC,No,Very certain,Slightly lighter,Neutral,true,Attended a Campus Event,Somewhat confident,Neutral,"I have made a few friends, but not strong connections yet.",Well,I feel neutral.,1–5,Lonely,Just keeping up the good work I'm doing,0 hours,Sleep schedule so far I can sleep longer than when I was in high school but I need to get up earlier than I originally though because of all the traffic.,In my six weeks my biggest success was probably preforming decently well on a little essay in my FYS.
Commute to RIC,No,Very certain,Slightly heavier,Agree,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel neutral.,1–5,Overwhelmed by coursework,I don't think there is anything that can help me right now.,0 hours,Adjusting to the work load for some classes,Going to all my classes. 
Commute to RIC,No,Very certain,About the same,Agree,true,"Athletics (varsity, club, intramural)",Somewhat confident,Somewhat confident,I have made some friends and connections.,Neutral,I feel somewhat connected.,1–5,Homesick,No there is nothing,0 hours,getting here on time,keeping up with my classes
Commute to RIC,No,Certain,Slightly heavier,Neutral,true,"Attended a Campus Event;
Other",Somewhat confident,Somewhat confident,I have not made any friends or connections.,Neutral,I feel somewhat connected.,1–5,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",no,0 hours,my biggest challenge was struggling to study sometimes. ,my biggest sucess during the first six weeks was turning in all my work on time and staying on top of everything i need to complete
Living on Campus,No,Very certain,Slightly heavier,Agree,false,Other,Somewhat confident,Very confident,I have made many close friends and strong connections.,Not well,I feel somewhat connected.,1–5,Overwhelmed by coursework,Nothing at this time. ,0 hours,Workload and time management. ,Coming to class on time. 
Living on Campus,No,Certain,Slightly lighter,Neutral,true,Other,Not very confident,Not very confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,1–5,"Homesick;
Overwhelmed by coursework",n/a,0 hours,Adapting and learning how to best take notes,Above average grades on a few exams
Commute to RIC,"Yes, off campus",Very certain,Slightly lighter,Neutral,false,Attended a Campus Event,Neutral,Somewhat confident,"I have made a few friends, but not strong connections yet.",Well,I feel somewhat connected.,1–5,"Lonely;
Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",not really,0 hours,i would say having to stick to a schedule where I assume would be very beneficial to me but it honestly a pain in the neck,being able to focus and be on top of my work for each class
Living on Campus,"Yes, off campus",Very certain,About the same,Agree,true,Other,Very confident,Very confident,I have made many close friends and strong connections.,Well,I feel somewhat connected.,1–5,"Homesick;
Overwhelmed by coursework","no, I feel good. ",0 hours,Just making sure I submit everything on time.,Getting more comfortable speaking in my classes
Commute to RIC,No,Certain,About the same,Agree,true,Other,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,1–5,Overwhelmed by coursework,No,0 hours,My biggest challenge during the first six weeks is being able to work on lot of assignments. ,"During the first six weeks my biggest success is getting to know some people, being able to get to class on time. "
Living on Campus,No,Very certain,About the same,Agree,true,"Attended a Campus Event;
Other",Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,1–5,Homesick,no,0 hours,My biggest challenge has been getting to class at a reasonable time.,During the first 6 weeks my biggest success has been getting really good grades with my assignments so far.
Commute to RIC,No,Very certain,Slightly lighter,Agree,true,Attended a Campus Event,Somewhat confident,Somewhat confident,I have made some friends and connections.,Well,I feel somewhat connected.,1–5,Overwhelmed by coursework,Keeping myself on track with my assignments or try to do things a few days before they're due. ,0 hours,"Creating a set schedule for myself to follow. Such as creating specific times to follow for studying, doing homework, etc. ",Being able to do my assignments on time. 
Commute to RIC,"Yes, on campus",Very certain,Much lighter,Agree,true,Religious/spiritual groups,Very confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,1–5,"Overwhelmed by coursework;
Overwhelmed by non-academic responsibilities",,0 hours,"My biggest challenge has been adjusting to the workload and expectations of college-level classes. At times, it felt overwhelming to manage readings, quizzes, and projects all at once. However, I'm learning how to take better notes, ask for help when I need it, and use the resources available on campus to stay on track.","My biggest success during the first six weeks has been staying consistent with my study schedule and managing my time better. I've learned how to balance multiple assignments, participate in class discussions, and still make time for self-care. I'm proud that I've been able to stay organized and keep up with all my coursework without falling behind."
Commute to RIC,"Yes, off campus",Certain,Slightly heavier,Neutral,true,"Attended a Campus Event;
Other",Very confident,Very confident,I have made some friends and connections.,Well,I feel somewhat connected.,1–5,Overwhelmed by non-academic responsibilities,,0 hours,Commuting,Staying on top of my workload 
